lon,lat,dune_length,dune_volume
-175.4455566,-51.92529297,220.9072203,652644.8052
-175.4455566,-51.92529297,160.3121954,460088.5528
-175.4455566,-51.92529297,227.7059507,686974.1351
-175.4455566,-51.92529297,377.1604433,333259.6028
-175.4455566,-51.92529297,337.3796082,1048583.801
-175.4455566,-51.92529297,276.8122107,625071.8089
-175.4455566,-51.92529297,254.9509757,630608.8422
-175.4455566,-51.92529297,472.704982,1353518.07
-175.4455566,-51.92529297,335.0373114,745772.6993
-175.4455566,-51.92529297,288.8771365,558935.7263
-175.4455566,-51.92529297,551.8378385,1499759.099
-175.4455566,-51.92529297,297.4054472,1064793.052
-175.4455566,-51.92529297,374.7332385,1972704.825
-175.4455566,-51.92529297,291.5475947,1806406.706
-175.4455566,-51.92529297,210.2974084,827095.9654
-175.4455566,-51.92529297,400.7804885,316985.421
-175.4455566,-51.92529297,331.4362684,1203151.022
-175.3120117,-46.16186523,178.0449381,349506.7011
-175.3120117,-46.16186523,311.4883625,3144369.348
-175.3120117,-46.16186523,168.6712779,443915.0991
-175.3120117,-46.16186523,197.8004044,328194.0008
-175.3120117,-46.16186523,201.246118,469745.1012
-175.3120117,-46.16186523,199.1230775,668367.2429
-175.3120117,-46.16186523,257.3907535,402164.2171
-175.3120117,-46.16186523,185.8090418,328426.4418
-175.3120117,-46.16186523,210.2974084,189549.2543
-175.3120117,-46.16186523,356.5459297,1754150.918
-170.3148804,-55.29542542,198.4943324,563518.9259
-170.3148804,-55.29542542,254.6566316,638225.7844
-170.3148804,-55.29542542,191.0497317,370410.1845
-170.3148804,-55.29542542,234.3074903,469477.8156
-170.3148804,-55.29542542,125,247040.8763
-170.3148804,-55.29542542,192.3538406,773840.1674
-170.3148804,-55.29542542,177.3414785,584392.4913
-170.3148804,-55.29542542,284.6928169,1226203.132
-170.3148804,-55.29542542,160.0781059,225721.0999
-170.3148804,-55.29542542,153.0522787,337097.3255
-170.3148804,-55.29542542,327.5667871,731764.9934
-170.3148804,-55.29542542,127.7693234,207764.5232
-170.3148804,-55.29542542,149.1643389,65518.06021
-170.3148804,-55.29542542,119.2686044,166693.9675
-170.3148804,-55.29542542,176.9180601,396411.8935
-170.3148804,-55.29542542,156.6045976,159515.0483
-170.3148804,-55.29542542,152.0690633,322264.4556
-170.3148804,-55.29542542,138.9244399,169865.8899
-170.3148804,-55.29542542,239.2697223,479852.1555
-170.3148804,-55.29542542,112.3610253,65269.92575
-170.3148804,-55.29542542,317.8049716,899540.7104
-170.3148804,-55.29542542,93.94147114,119688.5105
-170.3148804,-55.29542542,280.4014979,440818.1674
-170.3148804,-55.29542542,271.8915225,531552.1481
-170.3148804,-55.29542542,145.7737974,237614.2543
-170.3148804,-55.29542542,184.4586675,204159.3969
-170.3148804,-55.29542542,138.9244399,238686.6971
-170.3148804,-55.29542542,165,235071.8517
-170.3148804,-55.29542542,186.681547,639977.4771
-170.3148804,-55.29542542,120.9338662,94053.84458
-170.3148804,-55.29542542,252.3885893,620656.2862
-170.3148804,-55.29542542,128.0624847,170021.1807
-170.3148804,-55.29542542,309.0711892,1310530.052
-170.3148804,-55.29542542,75.16648189,23013.77905
-170.3148804,-55.29542542,292.1044334,765626.403
-170.3148804,-55.29542542,251.4458192,730753.0545
-170.3148804,-55.29542542,165.6049516,266192.8111
-170.3148804,-55.29542542,175.5704987,630211.9302
-170.3148804,-55.29542542,170.2938637,327316.7031
-170.3148804,-55.29542542,309.2329219,1309924.245
-170.3148804,-55.29542542,217.0829335,734366.1554
-170.3148804,-55.29542542,138.9244399,207992.8939
-170.3148804,-55.29542542,349.3565514,791361.638
-170.3148804,-55.29542542,145,367678.3546
-170.3148804,-55.29542542,188.4807682,519124.1791
-170.3148804,-55.29542542,309.2733419,1471543.721
-170.3148804,-55.29542542,144.3086969,368979.3618
-170.3148804,-55.29542542,214.7673159,549973.9805
-170.3148804,-55.29542542,167.1077497,422906.65
-170.3148804,-55.29542542,196.7866865,575332.6971
-170.3148804,-55.29542542,87.46427842,41687.51559
-170.3148804,-55.29542542,342.0526275,514701.4603
-170.3148804,-55.29542542,175,326422.1414
-170.3148804,-55.29542542,253.4758371,308730.134
-170.3148804,-55.29542542,129.7112177,132692.1641
