Dune Field,Latitude,Longitude,Large Type,Large Wavelength (m),Large Width (m),Large Height (m),Small Type,Small Wavelength (m),Small Width (m),Small Height (m),Mean Resultant Flux Magnitude (m^2/yr),Mean of Flux Magnitudes (m^2/yr)
Rub Al Khali,18.96954917907715,48.093650817871094,l,1351.8057987684494,44914.19286588291,43.01688431597584,l,1351.8057987684494,44914.19286588291,43.01688431597584,1.6257370008322556,4.687543021749053
Central Grand Sand Sea,25.99530792236328,25.31244659423828,l,954.8038397441062,7617.078926310978,39.12796693927382,l,954.8038397441062,7617.078926310978,39.12796693927382,1.438363108861531,5.284047762302709
Munga-Thirri,-24.871187210083008,137.2497100830078,l,409.29955542584435,8029.417309538988,21.32081895121721,l,194.49738345595688,923.8891429567249,10.796862716896394,11.116025112548586,17.962407023979154
El Djouf,20.37470054626465,349.593017578125,l,458.6971205692184,3014.544091252769,11.922601957520662,b,255.0678674088993,392.48361035044576,9.77346340723797,10.066342233120201,15.037852861833612
Rub Al Khali,20.655731201171875,50.34364318847656,b,572.8762040822909,2346.60985059006,15.095139817461785,b,572.8762040822909,2346.60985059006,15.095139817461785,3.325268013887255,6.0455534538846125
Grand Erg Occidental,29.64870262145996,359.1554870605469,l,1021.3134436143654,5289.390952813773,22.05425512313908,l,1021.3134436143654,5289.390952813773,22.05425512313908,7.3030641893806765,23.00492726121574
Rub Al Khali,18.688518524169922,47.531150817871094,l,1386.7398801956963,45143.47885507601,42.07876828212228,l,1386.7398801956963,45143.47885507601,42.07876828212228,1.6017775174130975,4.739549213420226
East Registan Desert,30.21076202392578,65.81236267089844,b,2090.402705911558,6211.495945857662,91.679521490234,b,2090.402705911558,6211.495945857662,91.679521490234,2.118999617765797,3.2661343612900637
Central Takla Makan,38.64167404174805,85.21857452392578,b,1540.3300012431914,4885.427722597224,61.403958579505556,b,1540.3300012431914,4885.427722597224,61.403958579505556,12.30318983306456,18.59384464126008
Idehan Ubari,27.40045928955078,11.812475204467773,s,1416.8238329658152,3579.153997017169,75.76566222504547,s,1416.8238329658152,3579.153997017169,75.76566222504547,4.180223340032535,15.233540219654294
El Djouf,18.688518524169922,352.686767578125,t,509.2229566625924,2241.7087372622595,20.57032612413436,b,371.185400805908,575.7881096078323,16.27204902356897,9.04623403616354,16.260723642802976
Central Takla Makan,38.079612731933594,82.96857452392578,b,1184.4964074062816,4845.4547404540035,33.158137632933,b,1184.4964074062816,4845.4547404540035,33.158137632933,5.388350565714682,11.42995472096953
Idehan Murzuk,25.433246612548828,13.218722343444824,s,1920.2774691370562,6425.7616767964455,101.4870982077939,s,1920.2774691370562,6425.7616767964455,101.4870982077939,0.9082703197500637,8.403586450624623
Idehan Ubari,25.99530792236328,10.968727111816406,b,1932.9820493550312,10634.731043371854,37.26879152672768,b,1932.9820493550312,10634.731043371854,37.26879152672768,2.818052828775017,11.607375156053804
Munga-Thirri,-25.433246612548828,136.9684600830078,l,538.657485122044,10046.560065739444,19.359303607705225,l,538.657485122044,10046.560065739444,19.359303607705225,9.135607587308833,15.949178273926492
Central Takla Makan,38.92270278930664,84.09357452392578,t,1727.5496523858249,14222.438022180859,49.03788358779958,t,1727.5496523858249,14222.438022180859,49.03788358779958,8.54363690138872,13.376412454807951
Namib Sand Sea,-23.7470645904541,14.906218528747559,l,1135.7089590052867,19911.790375554905,26.847175223372712,l,693.2502173161588,4399.42298658614,22.60006808829024,4.418890865983702,12.680016845554448
Grand Erg Oriental,32.45900344848633,7.3124847412109375,s,1081.8613916697896,1789.557997994803,18.30179098772485,s,1081.8613916697896,1789.557997994803,18.30179098772485,4.158160110113634,21.64690778405902
Munga-Thirri,-23.466033935546875,136.9684600830078,l,425.79061391575766,18176.462031956507,16.016199196154368,l,165.64145760654318,384.577638380819,5.031713272487261,11.69537025250906,17.79611531493111
Rub Al Khali,22.060882568359375,53.1561393737793,b,1819.1061437708158,3850.0867307455005,35.853089148366855,b,1819.1061437708158,3850.0867307455005,35.853089148366855,4.571869911901566,8.181261840484712
Central Grand Sand Sea,29.367671966552734,23.906200408935547,s,1907.5690279153803,4149.853180600282,41.0894822827858,s,1907.5690279153803,4149.853180600282,41.0894822827858,2.6552316522994275,10.248295736417292
Idehan Ubari,25.714277267456055,10.968727111816406,b,2515.444002444994,5610.760422870764,45.11485290077562,b,2515.444002444994,5610.760422870764,45.11485290077562,3.0975851781570145,10.089328484505195
An Nafud \& Ad Dahna,29.086641311645508,40.781166076660156,b,1009.3210009821704,2182.6586094400323,30.360846186533298,b,1009.3210009821704,2182.6586094400323,30.360846186533298,2.4423783771847303,6.697258618582512
Central Takla Makan,39.203731536865234,86.06231689453125,b,1487.2772697690552,4826.251044892034,41.00419900698093,b,1487.2772697690552,4826.251044892034,41.00419900698093,16.986025917109586,22.020363977779077
El Djouf,17.002336502075195,357.468017578125,l,848.5942774052819,45175.059332406854,20.10979643478807,b,326.766083524421,468.17994429498793,13.133624473949801,1.949503259779091,8.775723411258266
Central Takla Makan,40.04682540893555,82.40607452392578,l,1362.806716282703,11737.352554808453,26.76189194756784,b,522.3273544274016,716.1855342076451,20.178023055431964,5.592514708083959,8.523800141870764
El Djouf,17.845428466796875,354.936767578125,b,477.62815516420204,723.0339934743109,14.685780093598412,b,477.62815516420204,723.0339934743109,14.685780093598412,7.079664890409352,14.247465412681343
El Djouf,19.5316104888916,354.936767578125,l,537.2289278447918,4104.0398245320575,18.097111125793166,b,314.814451509208,457.89300747113964,12.04199854364748,6.751387572354615,12.617012578152709
Idehan Ubari,26.838397979736328,11.53122615814209,b,1788.8496350398295,4402.823825496765,81.5990382900985,b,1788.8496350398295,4402.823825496765,81.5990382900985,3.4828492095154227,14.112273836393667
Northwest Takla Makan,39.203731536865234,78.74983215332031,b,1221.947904246675,4983.459402496033,34.744406562903556,b,1221.947904246675,4983.459402496033,34.744406562903556,4.891864611620245,8.931078684719955
Ergs Iguidi \& Chech,27.119428634643555,358.8742370605469,l,1129.244699325998,33502.04849931058,18.574697470300432,l,510.6343552829106,3134.0847729598527,12.997171232662012,6.6842563791352285,18.271556467250246
Ergs Iguidi \& Chech,27.962520599365234,354.655517578125,s,1443.079461424178,4427.290721567123,34.1985935977524,s,1443.079461424178,4427.290721567123,34.1985935977524,2.8449510674256113,20.497816235699982
Rub Al Khali,19.812639236450195,53.7186393737793,s,1563.7492859986442,3238.2116988322337,117.19627761105076,s,1563.7492859986442,3238.2116988322337,117.19627761105076,1.0648014372372145,4.4152486897023975
Idehan Murzuk,24.59015655517578,12.65622329711914,b,1696.1445533711071,4511.199867077597,80.49035570463519,b,1696.1445533711071,4511.199867077597,80.49035570463519,0.44275053622272725,7.663298368682412
Rub Al Khali,18.688518524169922,49.49989700317383,l,1430.7896063669998,43584.91647090673,44.09145359111719,l,741.6714566333311,7066.313085894136,22.855917915704847,0.8439304002785035,4.391055268100637
Idehan Murzuk,24.309125900268555,13.218722343444824,n,774.3515854496702,2446.9035270766967,37.84871780220079,n,774.3515854496702,2446.9035270766967,37.84871780220079,2.360024135203283,7.93626973731303
Central Takla Makan,39.76579284667969,86.06231689453125,b,1664.0733905710306,7325.043407144573,96.96708459013587,b,1664.0733905710306,7325.043407144573,96.96708459013587,16.333963737482385,20.236877425220154
Central Grand Sand Sea,28.24355125427246,26.15619468688965,l,1232.4293114736447,8598.440856810234,49.97599962165314,l,1232.4293114736447,8598.440856810234,49.97599962165314,2.897850995234808,6.8942739195099865
Rub Al Khali,21.217792510986328,52.8748893737793,b,2059.007366895434,3246.186247896665,35.818975838044906,b,2059.007366895434,3246.186247896665,35.818975838044906,2.7803557992559567,6.171322128126923
Rub Al Khali,18.12645721435547,46.40615463256836,l,1186.2623768643057,45426.13460506471,35.22199290741083,l,1186.2623768643057,45426.13460506471,35.22199290741083,2.498367489605967,5.116361109991123
